Th?i gia,Gia t?c tr?c X,Gia t?c tr?c Y,Gia t?c tr?c Z,Gia t?c tr?c X,Gia t?c tr?c Y,Gia t?c tr?c Z
86600,0.01,0.01,0.95,0.06,0.03,1
86800,0.02,0.02,0.96,0.05,0.02,0.99
87000,0.02,0.01,0.95,0.05,0.03,1.02
87200,0.02,0.02,0.96,0.06,0.02,1
87400,0.03,0.01,0.96,0.06,0.03,1.01
87600,0.03,0.02,0.94,0.05,0.03,1
87800,0.02,0.02,0.94,0.05,0.04,1
88000,0.02,0.01,0.95,0.04,0.03,1.01
88200,0.02,0.02,0.96,0.05,0.02,1
88400,0.02,0.02,0.95,0.04,0.02,1
88600,0.02,0.02,0.95,0.05,0.02,1.01
88800,0.02,0.02,0.95,0.07,0.03,1
89000,0.02,0.02,0.94,0.06,0.04,1.01
89200,0.01,0.02,0.94,0.05,0.03,1.01
89400,0.02,0.02,0.95,0.04,0.03,1.01
89600,0.02,0.02,0.96,0.04,0.02,1
89800,0.02,0.02,0.95,0.05,0.03,1
90000,0.01,0.02,0.95,0.05,0.03,1.01
90200,0.02,0.02,0.95,0.04,0.03,1
90400,0.02,0.02,0.95,0.05,0.01,1
90600,0.02,0.02,0.95,0.05,0.01,1
90800,0.02,0.02,0.95,0.05,0.03,1.01
91000,0.02,0.02,0.96,0.05,0.03,1.02
91200,0.02,0.02,0.95,0.04,0.02,1
91400,0.02,0.02,0.95,0.05,0.02,1.01
91600,0.02,0.02,0.96,0.05,0.02,1
91800,0.02,0.02,0.95,0.04,0.03,1.01
92000,0.02,0.02,0.95,0.05,0.03,1.01
92200,0.02,0.02,0.94,0.05,0.03,1.01
92400,0.02,0.01,0.95,0.06,0.02,1
92600,0.02,0.02,0.96,0.05,0.03,1.01
92800,0.02,0.03,0.95,0.04,0.02,1.01
93000,0.01,0.02,0.96,0.04,0.02,1.01
93200,0.02,0.02,0.95,0.04,0.04,1.01
93400,0.02,0.02,0.95,0.05,0.03,1.02
93600,0.02,0.02,0.95,0.05,0,1
93800,0.01,0.02,0.96,0.04,0.01,1
94000,0.02,0.02,0.95,0.05,0.04,1.01
94200,0.02,0.02,0.96,0.06,0.03,1
94400,0.02,0.01,0.95,0.06,0.02,1.01
94600,0.02,0.02,0.95,0.05,0.03,1
94800,0.02,0.02,0.96,0.05,0.03,1.01
95000,0.02,0.02,0.95,0.04,0.03,1.01
95200,0.02,0.02,0.95,0.06,0.04,1
95400,0.01,0.02,0.95,0.05,0.04,1.01
95600,0.01,0.02,0.96,0.06,0.02,1.01
95800,0.02,0.02,0.95,0.05,0.01,0.99
96000,0.01,0.02,0.95,0.05,0.04,1.01
96200,0.02,0.02,0.95,0.05,0.02,1
96400,0.02,0.01,0.96,0.05,0.02,1.01
96600,0.02,0.02,0.95,0.06,0.04,1.01
96800,0.02,0.02,0.96,0.05,0.03,1
97000,0.01,0.02,0.95,0.06,0.02,1
97200,0.02,0.02,0.95,0.06,0.03,1.01
97400,0.03,0.01,0.95,0.05,0.03,1.01
97600,0.02,0.02,0.95,0.05,0.02,1.01
97800,0.02,0.02,0.95,0.05,0.02,0.99
98000,0.02,0.02,0.95,0.04,0.02,1
98200,0.02,0.02,0.96,0.05,0.02,1
98400,0.02,0.02,0.96,0.05,0.02,1.01
98600,0.02,0.02,0.96,0.06,0.03,1
98800,0.02,0.02,0.95,0.05,0.02,1.01
99000,0.02,0.02,0.96,0.05,0.03,1
99200,0.02,0.02,0.95,0.05,0.02,1
99400,0.02,0.02,0.96,0.05,0.02,1
99600,0.02,0.02,0.95,0.06,0.03,1.01
99800,0.02,0.02,0.95,0.04,0.02,1.01
100000,0.02,0.02,0.95,0.05,0.03,1
